Species,circRNA name,circAltas ID,Postion,Strand,Host gene,Disease Name,Expression Pattern,PMID,miRNA
chicken,chr1:194735582-194744050,"<a href=""./circ_detail.php?ID=gal-ENSGALG00000017320_000004"">gal-ENSGALG00000017320_000004</a>",chr1:194735582|194744050,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB6A"" target=""_blank"">RAB6A</a>",Avian leukosis virus subgroup,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=28415618"" target=""_blank"">28415618</a>",N/A
chicken,chr23:5549365-5549645,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr23:5549365|5549645,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGCL"" target=""_blank"">HMGCL</a>",Avian leukosis virus subgroup,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29499937"" target=""_blank"">29499937</a>",N/A
chicken,chr5:58225735-58230830,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr5:58225735|58230830,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=-"" target=""_blank"">-</a>",Avian leukosis virus subgroup,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=28415618"" target=""_blank"">28415618</a>","gga-miR-6702-5p,gga-miR-1662,gga-miR-34b-5p,gga-miR-6611-5p,gga-miR-6641-5p"
chicken,chr8:1033880-1047222,"<a href=""./circ_detail.php?ID=gal-VAV3_000001"">gal-VAV3_000001</a>",chr8:1033880|1047222,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=VAV3"" target=""_blank"">VAV3</a>",Avian leukosis virus subgroup,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=28415618"" target=""_blank"">28415618</a>",N/A
human,ARHGAP5/circARHGAP5,"<a href=""./circ_detail.php?ID=hsa-ARHGAP5_000025"">hsa-ARHGAP5_000025</a>",chr14:32559708|32563592,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=ARHGAP5"" target=""_blank"">ARHGAP5</a>",Colon cancer,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=27119352"" target=""_blank"">27119352</a>",N/A
human,ARHGAP5/circARHGAP5,"<a href=""./circ_detail.php?ID=hsa-ARHGAP5_000025"">hsa-ARHGAP5_000025</a>",chr14:32559708|32563592,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=ARHGAP5"" target=""_blank"">ARHGAP5</a>",Epithelial Ovarian carcinoma,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=27119352"" target=""_blank"">27119352</a>",N/A
human,CDR1as/ciRS-7/hsa_circ_0001946,"<a href=""./circ_detail.php?ID=hsa-intergenic_004850"">hsa-intergenic_004850</a>",chrX:139865340|139866824,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=CDR1"" target=""_blank"">CDR1</a>",Gastric cancer,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=28608528"" target=""_blank"">28608528</a>",N/A
human,CDR1as/ciRS-7/hsa_circ_0001946,"<a href=""./circ_detail.php?ID=hsa-intergenic_004850"">hsa-intergenic_004850</a>",chrX:139865340|139866824,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=CDR1"" target=""_blank"">CDR1</a>",Glioblastoma,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26683098"" target=""_blank"">26683098</a>",miR-671-5p
human,CDR1as/ciRS-7/hsa_circ_0001946,"<a href=""./circ_detail.php?ID=hsa-intergenic_004850"">hsa-intergenic_004850</a>",chrX:139865340|139866824,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=CDR1"" target=""_blank"">CDR1</a>",Alzheimers disease,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=27929395"" target=""_blank"">27929395</a>",N/A
human,CDR1as/ciRS-7/hsa_circ_0001946,"<a href=""./circ_detail.php?ID=hsa-intergenic_004850"">hsa-intergenic_004850</a>",chrX:139865340|139866824,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=CDR1"" target=""_blank"">CDR1</a>",Celebral development,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=27997903"" target=""_blank"">27997903</a>",N/A
human,CDR1as/ciRS-7/hsa_circ_0001946,"<a href=""./circ_detail.php?ID=hsa-intergenic_004850"">hsa-intergenic_004850</a>",chrX:139865340|139866824,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=CDR1"" target=""_blank"">CDR1</a>",Colorectal cancer,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=28174233"" target=""_blank"">28174233</a>",N/A
human,CDR1as/ciRS-7/hsa_circ_0001946,"<a href=""./circ_detail.php?ID=hsa-intergenic_004850"">hsa-intergenic_004850</a>",chrX:139865340|139866824,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=CDR1"" target=""_blank"">CDR1</a>",Hepatocellular carcinoma,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=28892615"" target=""_blank"">28892615</a>",N/A
human,CDR1as/ciRS-7/hsa_circ_0001946,"<a href=""./circ_detail.php?ID=hsa-intergenic_004850"">hsa-intergenic_004850</a>",chrX:139865340|139866824,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=CDR1"" target=""_blank"">CDR1</a>",Pancreatic ductal adenocarcinoma,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=27997903"" target=""_blank"">27997903</a>",N/A
human,chr15:95864225-95894541,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr15:95864225|95894541,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=Ano6"" target=""_blank"">Ano6</a>",Intestinal injury and repair,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=N/A"" target=""_blank"">N/A</a>",N/A
human,chr18:107887-108499,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr18:107887|108499,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=N/A"" target=""_blank"">N/A</a>",Glioblastoma,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=28236760"" target=""_blank"">28236760</a>",N/A
human,chr18:35610871-35613502,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr18:35610871|35613502,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=Paip2"" target=""_blank"">Paip2</a>",Intestinal injury and repair,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=N/A"" target=""_blank"">N/A</a>",N/A
human,chr19:16705875-16710941,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr19:16705875|16710941,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=Vps13a"" target=""_blank"">Vps13a</a>",Intestinal injury and repair,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29991023"" target=""_blank"">29991023</a>",miR-130a-3p
human,chr19:42562552-42564341,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr19:42562552|42564341,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=R3hcc1l"" target=""_blank"">R3hcc1l</a>",Intestinal injury and repair,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=N/A"" target=""_blank"">N/A</a>",N/A
human,chr19:5761476-5761630,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr19:5761476|5761630,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=N/A"" target=""_blank"">N/A</a>",Glioblastoma,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=28236760"" target=""_blank"">28236760</a>",miR-217
human,chr22:28943661-28946139,"<a href=""./circ_detail.php?ID=hsa-TTC28_000044"">hsa-TTC28_000044</a>",chr22:28943661|28946139,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=TTC28"" target=""_blank"">TTC28</a>",Bladder cancer,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29558461"" target=""_blank"">29558461</a>",N/A
human,chr3:72958113-72960367,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr3:72958113|72960367,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=Sis"" target=""_blank"">Sis</a>",Intestinal injury and repair,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=N/A"" target=""_blank"">N/A</a>",N/A
human,chr3:96041338-96042928,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr3:96041338|96042928,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=Vps45"" target=""_blank"">Vps45</a>",Intestinal injury and repair,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29991023"" target=""_blank"">29991023</a>",N/A
human,chr4:103501692-103504114,"<a href=""./circ_detail.php?ID=hsa-NFKB1_000002"">hsa-NFKB1_000002</a>",chr4:103501692|103504114,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKB1"" target=""_blank"">NFKB1</a>",Glioblastoma,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=28236760"" target=""_blank"">28236760</a>",N/A
human,chr5:134491893-134500149,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr5:134491893|134500149,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=Clip2"" target=""_blank"">Clip2</a>",Intestinal injury and repair,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29991023"" target=""_blank"">29991023</a>",N/A
human,chr5:158368701-158368987,"<a href=""./circ_detail.php?ID=hsa-EBF1_000018"">hsa-EBF1_000018</a>",chr5:158368701|158368987,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=EBF1"" target=""_blank"">EBF1</a>",Bladder cancer,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29558461"" target=""_blank"">29558461</a>",N/A
human,chr5:32640331-32664400,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr5:32640331|32664400,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=N/A"" target=""_blank"">N/A</a>",Intestinal injury and repair,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=N/A"" target=""_blank"">N/A</a>",N/A
human,chr5:64096979-64108263,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr5:64096979|64108263,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=Pgm1"" target=""_blank"">Pgm1</a>",Intestinal injury and repair,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=N/A"" target=""_blank"">N/A</a>","miR-545-5p,miR-607,miR-133a-5p,miR-376a-2-5p,miR-506-3p"
